C_TERRITOIRE_ID;C_LBLTERRITOIRE;C_DEPARTEMENT_ID;C_LBLDEPARTEMENT;C_REGION_ID;C_LBLREGION;TX_ACCESM6;TX_PRESEMPM6;TX_ACCESM6_D;TX_PRESEMPM6_D;DELTA_TX_ACCESM6;DELTA_TX_PRESEMPM6;TERRITOIRE_PROCHE1;TERRITOIRE_PROCHE2;TERRITOIRE_PROCHE3;TERRITOIRE_PROCHE4;TERRITOIRE_PROCHE5;TERRITOIRE_PROCHE6;TERRITOIRE_PROCHE7;TERRITOIRE_PROCHE8;TERRITOIRE_PROCHE9;TERRITOIRE_PROCHE10
CLPE21001;BEAUNE;21;CÔTE-D'OR;27;BOURGOGNE-FRANCHE-COMTÉ;0.4112749723;0.2740784878;0.4051978895;0.2732409517;0.0060770827;0.0008375362;CLPE29004;CLPE22001;CLPE85004;CLPE37002;CLPE26003;CLPE16002;CLPE35003;CLPE37001;CLPE56001;CLPE44003
CLPE21002;DIJON HORS MÉTROPOLE;21;CÔTE-D'OR;27;BOURGOGNE-FRANCHE-COMTÉ;0.3985000374;0.2735654971;0.3772294003;0.2511559856;0.0212706372;0.0224095115;CLPE42002;CLPE71004;CLPE35001;CLPE27001;CLPE37001;CLPE67002;CLPE37002;CLPE39001;CLPE67004;CLPE67003
CLPE21003;DIJON MÉTROPOLE;21;CÔTE-D'OR;27;BOURGOGNE-FRANCHE-COMTÉ;0.3387533312;0.2218817689;0.3389734134;0.2234187786;-0.000220082;-0.00153701;CLPE63001;CLPE37004;CLPE14002;CLPE33003;CLPE25001;CLPE31004;CLPE38002;CLPE44001;CLPE34003;CLPE51003
CLPE21004;MONTBARD;21;CÔTE-D'OR;27;BOURGOGNE-FRANCHE-COMTÉ;0.3162224962;0.2040496965;0.317138806;0.2078237163;-0.00091631;-0.00377402;CLPE23001;CLPE61002;CLPE17005;CLPE36003;CLPE58003;CLPE03003;CLPE63002;CLPE16003;CLPE37003;CLPE41003
CLPE22001;DINAN;22;CÔTES-D'ARMOR;53;BRETAGNE;0.3974930362;0.2686629526;0.401158394;0.273120878;-0.003665358;-0.004457925;CLPE44003;CLPE35003;CLPE56001;CLPE14001;CLPE29003;CLPE35001;CLPE50003;CLPE29004;CLPE42002;CLPE14003
CLPE22002;SAINT-BRIEUC;22;CÔTES-D'ARMOR;53;BRETAGNE;0.3748259946;0.2555742789;0.3765338229;0.2519535531;-0.001707828;0.0036207259;CLPE01002;CLPE56003;CLPE41001;CLPE29003;CLPE40001;CLPE49001;CLPE19001;CLPE14002;CLPE64002;CLPE73002
CLPE22003;TRÉGOR GOËLO - GUINGAMP;22;CÔTES-D'ARMOR;53;BRETAGNE;0.3732032052;0.2499507262;0.3828699896;0.2574672397;-0.009666784;-0.007516514;CLPE29004;CLPE29003;CLPE40001;CLPE17006;CLPE63004;CLPE50003;CLPE37001;CLPE22001;CLPE19001;CLPE24001
CLPE23001;CREUSE;23;CREUSE;75;NOUVELLE-AQUITAINE;0.2973068746;0.1924994094;0.3095918771;0.202363157;-0.012285003;-0.009863748;CLPE31003;CLPE21004;CLPE58003;CLPE63002;CLPE36003;CLPE81003;CLPE03003;CLPE18002;CLPE17005;CLPE16003
CLPE24001;BERGERAC;24;DORDOGNE;75;NOUVELLE-AQUITAINE;0.3362685687;0.2217514882;0.3570224075;0.2359586178;-0.020753839;-0.01420713;CLPE84003;CLPE84004;CLPE24003;CLPE26002;CLPE37003;CLPE17006;CLPE22003;CLPE84001;CLPE86002;CLPE81002
CLPE24002;NONTRON;24;DORDOGNE;75;NOUVELLE-AQUITAINE;0.3226213617;0.2077600788;0.3325006009;0.2206187446;-0.009879239;-0.012858666;CLPE86002;CLPE61002;CLPE24001;CLPE46003;CLPE71003;CLPE32001;CLPE87001;CLPE16003;CLPE21004;CLPE64001
CLPE24003;PÉRIGUEUX;24;DORDOGNE;75;NOUVELLE-AQUITAINE;0.3111204729;0.2043327844;0.335082134;0.2225670893;-0.023961661;-0.018234305;CLPE82002;CLPE18001;CLPE16001;CLPE81001;CLPE61003;CLPE58004;CLPE30002;CLPE26002;CLPE84004;CLPE62006
CLPE24004;SARLAT;24;DORDOGNE;75;NOUVELLE-AQUITAINE;0.3755252335;0.257739306;0.3979443662;0.2722854781;-0.022419133;-0.014546172;CLPE46003;CLPE17003;CLPE40002;CLPE15002;CLPE17004;CLPE40003;CLPE22003;CLPE85003;CLPE33006;CLPE83002
CLPE25001;BESANÇON;25;DOUBS;27;BOURGOGNE-FRANCHE-COMTÉ;0.3176888459;0.2063943701;0.3279480908;0.2168951003;-0.010259245;-0.01050073;CLPE14002;CLPE16001;CLPE63001;CLPE76004;CLPE72001;CLPE26001;CLPE42001;CLPE21003;CLPE18001;CLPE37004
CLPE25002;MONTBÉLIARD;25;DOUBS;27;BOURGOGNE-FRANCHE-COMTÉ;0.2763056026;0.1866099985;0.3168410511;0.2117630275;-0.040535449;-0.025153029;CLPE89003;CLPE60003;CLPE27003;CLPE89001;CLPE42001;CLPE27002;CLPE28002;CLPE60001;CLPE45002;CLPE90001
CLPE25003;PONTARLIER;25;DOUBS;27;BOURGOGNE-FRANCHE-COMTÉ;0.3803424476;0.2424210247;0.3692243523;0.2478993197;0.0111180953;-0.005478295;CLPE39003;CLPE07001;CLPE56002;CLPE70001;CLPE68005;CLPE67003;CLPE42003;CLPE67001;CLPE57003;CLPE63004
